StockCode,Description,Units_Sold,Appeared_In_Orders,Total_Revenue
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,1,168469.6
22423,REGENCY CAKESTAND 3 TIER,12374,1703,142264.75
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36706,1971,100392.1
85099B,JUMBO BAG RED RETROSPOT,46078,1600,85040.54
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,195,81416.73
POST,POSTAGE,3121,1100,77821.96
47566,PARTY BUNTING,15279,1379,68785.23
84879,ASSORTED COLOUR BIRD ORNAMENT,35263,1375,56413.03
M,MANUAL,6933,253,53419.93
23084,RABBIT NIGHT LIGHT,27153,801,51251.24
